DateHour,Wind_Speed_Actual_Knots,Production_Actual_MWh,Production_Forecast_1hour_MWh,Production_Forecast_6hour_MWh,Production_24hour_MWh,Electricity_Prices_Day_Ahead_Dollar,Electricity_Prices_Spot_Dollar,Potential_Hydrogen_Quantity,Revenue_If_All_Selling,Profit_If_All_Selling
01/01/2022 00:00,10.34,35.3697,30.2627,19.3683,11.2438,133,131.98,1414.788,186723.7202,1443.08376
01/01/2022 01:00,9.52,27.5898,24.9854,19.2894,6.7481,138.45,138.43,1103.592,152770.2406,22.07184
01/01/2022 02:00,6.31,8.0303,13.5787,18.6246,10.6262,107.54,105.02,321.212,33733.68424,809.45424
01/01/2022 03:00,7.38,12.8577,13.8099,17.0159,10.6262,105.54,104.18,514.308,53580.60744,699.45888
01/01/2022 04:00,7.03,11.1329,10.5426,13.9052,12.3877,107.69,108.36,445.316,48254.44176,-298.36172
01/01/2022 05:00,5.74,6.0457,7.7282,8.6532,14.9853,98.36,96.81,241.828,23411.36868,374.8334
01/01/2022 06:00,4.64,3.1974,4.5571,5.1233,19.016,108.73,107.59,127.896,13760.33064,145.80144
01/01/2022 07:00,7.25,12.189,6.4915,8.4198,36.8433,74.94,73.33,487.56,35752.7748,784.9716
01/01/2022 08:00,9.51,27.5379,11.6169,10.2155,43.2345,75.86,75.03,1101.516,82646.74548,914.25828
01/01/2022 09:00,7.33,12.6148,14.505,10.4862,13.6434,105.67,104.07,504.592,52512.88944,807.3472
01/01/2022 10:00,8.87,22.3517,20.1574,13.6148,15.3487,131.45,130.76,894.068,116908.3317,616.90692
01/01/2022 11:00,11.53,49.0798,25.2919,22.556,12.4007,115.45,113.92,1963.192,223646.8326,3003.68376
01/01/2022 12:00,12.05,55.9748,40.5123,30.671,12.7358,127.58,125.26,2238.992,280456.1379,5194.46144
01/01/2022 13:00,11.91,54.0099,52.9678,35.3608,17.0219,139.2,136.78,2160.396,295498.9649,5228.15832
01/01/2022 14:00,10.02,32.1404,38.8608,36.4626,24.8547,146.02,143.73,1285.616,184781.5877,2944.06064
01/01/2022 15:00,9.37,26.3532,31.0719,33.7018,26.6461,104.02,101.71,1054.128,107215.3589,2435.03568
01/01/2022 16:00,11.2,44.9778,33.9241,41.5431,29.7799,133.22,132.59,1799.112,238544.2601,1133.44056
01/01/2022 17:00,8.9,22.5496,26.2549,28.2129,25.9974,154.85,153.51,901.984,138463.5638,1208.65856
01/01/2022 18:00,9.83,30.3537,31.0532,30.5268,30.794,141.54,139,1214.148,168766.572,3083.93592
01/01/2022 19:00,11.86,53.335,33.8944,34.2706,38.2004,156.21,152.37,2133.4,325066.158,8192.256
01/01/2022 20:00,13.19,73.3912,50.2485,42.5221,46.999,133.9,130.5,2935.648,383102.064,9981.2032
01/01/2022 21:00,11.17,44.6367,50.2445,42.4563,44.7218,113.89,111.47,1785.468,199026.118,4320.83256
01/01/2022 22:00,13.04,70.873,61.9806,52.7851,44.8071,111.86,111.3,2834.92,315526.596,1587.5552
01/01/2022 23:00,10.4,36.0008,42.2257,44.5438,38.0446,103.12,101.02,1440.032,145472.0326,3024.0672
02/01/2022 00:00,14.14,90.3789,62.8547,60.8104,44.8071,102.43,102.96,3615.156,372216.4618,-1916.03268
02/01/2022 01:00,13.09,71.8013,63.1395,60.5283,49.0378,106.4,105.09,2872.052,301823.9447,3762.38812
02/01/2022 02:00,14.41,95.6889,85.5315,70.5292,61.6892,103.84,104.33,3827.556,399328.9175,-1875.50244
02/01/2022 03:00,13.15,72.7909,76.1498,70.9089,71.3362,102.09,102.21,2911.636,297598.3156,-349.39632
02/01/2022 04:00,13.62,80.7971,81.7633,81.3632,72.295,100.99,99.63,3231.884,321992.6029,4395.36224
02/01/2022 05:00,13.5,78.674,77.3706,79.1653,73.0907,95.14,95.3,3146.96,299905.288,-503.5136
02/01/2022 06:00,12.71,65.6559,70.1459,71.797,68.9222,111.71,111.54,2626.236,292930.3634,446.46012
02/01/2022 07:00,11.92,54.1364,59.707,61.7014,62.7787,107.93,107.37,2165.456,232505.0107,1212.65536
02/01/2022 08:00,12.98,69.902,62.9895,69.3715,71.0918,118.13,118.19,2796.08,330468.6952,-167.7648
02/01/2022 09:00,15.99,130.8377,80.9759,77.288,75.6944,137.42,136.26,5233.508,713117.8001,6070.86928
02/01/2022 10:00,16.05,132.182,108.0769,86.4347,75.6944,141.07,140.2,5287.28,741276.656,4599.9336
02/01/2022 11:00,12.7,65.5982,84.2458,75.5318,70.5259,137.9,137.57,2623.928,360973.775,865.89624
02/01/2022 12:00,7.45,13.2078,29.7056,34.3466,34.5051,144.34,142.86,528.312,75474.65232,781.90176
02/01/2022 13:00,9.05,23.6961,26.4898,38.6182,41.9457,138.53,137.14,947.844,129987.3262,1317.50316
02/01/2022 14:00,10.63,38.4494,23.6502,41.4725,50.8337,133.77,132.07,1537.976,203120.4903,2614.5592
02/01/2022 15:00,13.53,79.2499,43.4015,38.8868,65.627,129,127.49,3169.996,404142.79,4786.69396
02/01/2022 16:00,9.54,27.7735,35.8502,30.0132,41.7162,142.29,141.74,1110.94,157464.6356,611.017
02/01/2022 17:00,7.79,15.1461,23.642,22.9459,29.4792,178.59,176.58,605.844,106979.9335,1217.74644
02/01/2022 18:00,10.86,40.932,26.5425,36.7229,39.6777,168.63,167.79,1637.28,274719.2112,1375.3152
02/01/2022 19:00,10.14,33.3115,28.262,34.4862,34.5501,185.58,188.25,1332.46,250835.595,-3557.6682
02/01/2022 20:00,10.59,38.0302,37.3353,29.9605,35.6188,144.46,147.44,1521.208,224286.9075,-4533.19984
02/01/2022 21:00,9.57,28.0802,30.461,29.0417,29.3325,129.98,129.17,1123.208,145084.7774,909.79848
02/01/2022 22:00,11.43,47.7636,37.3783,37.223,35.6188,114.06,113.24,1910.544,216350.0026,1566.64608
02/01/2022 23:00,14.52,97.8523,53.099,45.5477,38.2394,112.79,112.32,3914.092,439630.8134,1839.62324
03/01/2022 00:00,18.11,189.8494,101.2764,67.7787,39.4633,131.12,124.97,7593.976,949019.1807,46702.9524
03/01/2022 01:00,16.24,136.9447,137.5648,87.2648,39.4633,133.53,126.97,5477.788,695514.7424,35934.28928
03/01/2022 02:00,16.66,147.9352,152.5161,116.6006,44.26,131.13,124.11,5917.408,734409.5069,41540.20416
03/01/2022 03:00,16.5,143.6141,142.7834,141.1853,69.8425,123.32,117.3,5744.564,673837.3572,34582.27528
03/01/2022 04:00,16.15,134.8486,138.4242,142.1996,115.3636,123.32,116.34,5393.944,627531.445,37649.72912
03/01/2022 05:00,15.01,108.2855,118.0142,120.6008,114.5646,125.24,117.21,4331.42,507685.7382,34781.3026
03/01/2022 06:00,20.66,281.908,164.9081,157.0612,135.894,134.93,129.31,11276.32,1458140.939,63372.9184
03/01/2022 07:00,18.33,196.9649,186.5497,166.4923,140.253,136.73,128.13,7878.596,1009484.505,67755.9256
03/01/2022 08:00,19.23,227.3836,230.5283,182.7335,145.764,175.28,165.27,9095.344,1503187.503,91044.39344
03/01/2022 09:00,16.81,151.8598,170.3778,168.7111,149.8889,178.31,169.59,6074.392,1030156.139,52968.69824
03/01/2022 10:00,15.77,125.5466,144.2608,156.2223,135.4038,174.83,164.08,5021.864,823987.4451,53985.038
03/01/2022 11:00,18.62,206.6661,159.0656,178.9608,149.8889,159.67,151.85,8266.644,1255289.891,64645.15608
03/01/2022 12:00,14.64,100.4017,118.9837,126.8474,122.5329,159.27,151.21,4016.068,607269.6423,32369.50808
03/01/2022 13:00,14.66,100.7143,114.9159,116.3445,120.7076,152.82,146.52,4028.572,590266.3694,25380.0036
03/01/2022 14:00,14.61,99.7259,100.0027,110.8967,117.9577,146.59,137.79,3989.036,549649.2704,35103.5168
03/01/2022 15:00,18.68,208.5296,130.5804,137.0699,173.436,168.78,157.93,8341.184,1317323.189,90501.8464
03/01/2022 16:00,18.22,193.3748,161.8815,135.0137,171.7821,162.47,153.42,7734.992,1186702.473,70001.6776
03/01/2022 17:00,13.17,73.0814,106.4551,97.8961,102.2443,185.4,175.14,2923.256,511979.0558,29992.60656
03/01/2022 18:00,12.39,60.9141,78.6064,85.9931,84.1599,185.84,175.3,2436.564,427129.6692,25681.38456
03/01/2022 19:00,13.33,75.6901,69.6904,92.3984,87.5362,208.16,195,3027.604,590382.78,39843.26864
03/01/2022 20:00,16.47,142.9906,88.9936,101.9463,100.5579,169.51,160.13,5719.624,915883.3911,53650.07312
03/01/2022 21:00,12.07,56.2304,70.4763,66.7328,76.0545,161.45,151.15,2249.216,339968.9984,23166.9248
03/01/2022 22:00,12.81,67.2937,75.2423,72.1464,76.7974,124.73,117.44,2691.748,316118.8851,19622.84292
03/01/2022 23:00,14.03,88.264,69.7815,82.9988,81.8161,127.12,120.72,3530.56,426209.2032,22595.584
04/01/2022 00:00,19.33,231.0912,116.6071,106.7229,81.8161,135.75,129.46,9243.648,1196682.67,58142.54592
04/01/2022 01:00,17.47,170.4801,155.5436,111.0412,81.8161,143.78,135.78,6819.204,925911.5191,54553.632
04/01/2022 02:00,18.57,204.7408,201.0704,142.1587,81.8161,113.32,109.73,8189.632,898648.3194,29400.77888
04/01/2022 03:00,15.59,121.1254,141.013,138.3049,103.8296,117.15,112.37,4845.016,544434.4479,23159.17648
04/01/2022 04:00,16.52,144.1836,149.1091,157.3364,131.7557,116.92,110.13,5767.344,635157.5947,39160.26576
04/01/2022 05:00,16.35,139.8777,134.8081,146.9985,140.6517,125.12,117.48,5595.108,657313.2878,42746.62512
04/01/2022 06:00,14.24,92.4149,107.3889,113.4022,110.2647,134.95,128.16,3696.596,473755.7434,25099.88684
04/01/2022 07:00,16.15,134.7669,121.0202,125.4595,136.0327,143.62,137.63,5390.676,741918.7379,32290.14924
04/01/2022 08:00,16.13,134.2666,119.3069,128.0762,135.7808,175.14,167.32,5370.664,898619.5005,41998.59248
04/01/2022 09:00,20.01,256.4691,169.4513,145.7506,142.0198,188.95,178.74,10258.764,1833651.477,104741.9804
04/01/2022 10:00,20.81,288.193,218.8722,170.5391,142.0198,187.02,176.98,11527.72,2040175.886,115738.3088
04/01/2022 11:00,17.28,164.9698,196.743,176.6835,142.0198,160.42,151.81,6598.792,1001762.614,56815.59912
04/01/2022 12:00,17.63,175.3973,189.7872,186.6584,142.0198,155.27,148.97,7015.892,1045157.431,44200.1196
04/01/2022 13:00,22.07,343.8595,219.1831,239.409,154.3435,154.07,147.02,13754.38,2022168.948,96968.379
04/01/2022 14:00,23.44,411.7831,298.2218,265.427,170.1303,156.28,147.78,16471.324,2434132.261,140006.254
04/01/2022 15:00,24.14,450.1773,400.2968,292.5381,213.3731,168.61,158.49,18007.092,2853944.011,182231.771
04/01/2022 16:00,21.93,337.5983,366.9604,333.4004,272.0228,158.29,148.32,13503.932,2002903.194,134634.202
04/01/2022 17:00,23.05,391.6655,391.3498,385.4864,312.2445,167.24,158.65,15666.62,2485509.263,134576.2658
04/01/2022 18:00,25.01,500.1379,406.1734,415.8671,340.7193,157.55,148.06,20005.516,2962016.699,189852.3468
04/01/2022 19:00,26.63,604.3795,493.6048,450.7315,367.2441,181.38,171.53,24175.18,4146768.625,238125.523
04/01/2022 20:00,23.85,433.9315,470.7789,440.6551,401.6404,149.37,143.44,17357.26,2489725.374,102928.5518
04/01/2022 21:00,24.75,485.2324,494.8481,479.6045,422.7606,146.85,138.52,19409.296,2688575.682,161679.4357
04/01/2022 22:00,25.06,503.6546,473.6494,503.5106,442.0046,138.79,130.76,20146.184,2634315.02,161773.8575
04/01/2022 23:00,22.98,388.1884,421.6959,432.2327,414.5144,133.23,125.13,15527.536,1942960.58,125773.0416
05/01/2022 00:00,19.34,231.317,291.995,307.7048,325.3793,111.22,109,9252.68,1008542.12,20540.9496
05/01/2022 01:00,18.49,202.055,232.7104,267.7844,294.853,113.84,112.1,8082.2,906014.62,14063.028
05/01/2022 02:00,20.89,291.7136,239.8192,301.4424,348.5993,116.53,112.75,11668.544,1315628.336,44107.09632
05/01/2022 03:00,19.9,252.2347,246.8236,260.225,325.0302,112.16,110.46,10089.388,1114473.798,17151.9596
05/01/2022 04:00,20.44,272.9911,271.9937,248.7185,304.1796,111.27,108.79,10919.644,1187948.071,27080.71712
05/01/2022 05:00,20.57,278.3772,267.7073,258.1095,281.6723,110.85,107.75,11135.088,1199805.732,34518.7728
05/01/2022 06:00,17.66,176.2468,206.1343,211.7852,222.2683,115.82,111.89,7049.872,788810.1781,27705.99696
05/01/2022 07:00,21.31,309.3676,250.0256,254.9575,275.6754,121.5,117.67,12374.704,1456131.42,47395.11632
05/01/2022 08:00,25.17,510.3645,312.6535,297.4895,275.6754,123.73,121.08,20414.58,2471797.346,54098.637
05/01/2022 09:00,19.8,248.3791,294.0489,269.67,255.3628,133.85,128.89,9935.164,1280543.288,49278.41344
05/01/2022 10:00,18.12,190.174,239.8697,228.6745,224.3874,152.8,148.85,7606.96,1132295.996,30047.492
05/01/2022 11:00,22.64,371.2874,263.1276,313.8428,275.6754,148.51,144.93,14851.496,2152427.315,53168.35568
05/01/2022 12:00,22.16,347.976,295.0408,321.395,275.6754,150.31,145.25,13919.04,2021740.56,70430.3424
05/01/2022 13:00,23.61,420.813,379.2289,307.5844,293.5999,142.29,138.25,16832.52,2327095.89,68003.3808
05/01/2022 14:00,25.82,550.401,434.5201,362.791,328.2936,123.8,119.66,22016.04,2634439.346,91146.4056
05/01/2022 15:00,20.79,287.5827,345.2481,335.9045,307.4891,116.47,114.02,11503.308,1311607.178,28183.1046
05/01/2022 16:00,19.39,233.2295,283.5447,290.8553,278.059,137.21,132.83,9329.18,1239194.979,40861.8084
05/01/2022 17:00,21.75,329.1134,281.4561,341.0986,333.7634,155.46,149.63,13164.536,1969809.522,76749.24488
05/01/2022 18:00,18.81,212.7286,233.3262,258.1451,257.3809,151.38,145.71,8509.144,1239867.372,48246.84648
05/01/2022 19:00,22.9,384.1691,302.7124,284.8764,338.4571,153.94,149.5,15366.764,2297331.218,68228.43216
05/01/2022 20:00,22.36,357.7233,311.5675,298.0123,352.8272,134.4,130.41,14308.932,1866027.822,57092.63868
05/01/2022 21:00,18.64,207.1479,254.7571,247.0045,267.454,133.49,129.69,8285.916,1074600.446,31486.4808
05/01/2022 22:00,13.86,85.2384,132.9034,146.0333,173.4322,128.99,124.5,3409.536,424487.232,15308.81664
05/01/2022 23:00,17.34,166.7447,146.6939,192.2055,209.6977,123,119.15,6669.788,794705.2402,25678.6838
06/01/2022 00:00,16.94,155.5749,132.2178,168.1104,187.19,125.72,126.9,6222.996,789698.1924,-7343.13528
06/01/2022 01:00,15.87,127.9461,138.4331,136.067,165.5686,124.24,123.14,5117.844,630211.3102,5629.6284
06/01/2022 02:00,17.17,161.8942,147.9651,136.9489,173.7717,110.04,112.16,6475.768,726322.1389,-13728.62816
06/01/2022 03:00,21.02,297.2558,187.2476,176.4716,186.2164,112.5,112.04,11890.232,1332181.593,5469.50672
06/01/2022 04:00,16.08,133.1225,159.6342,150.3781,148.1685,110.83,112.56,5324.9,599370.744,-9212.077
06/01/2022 05:00,22.11,345.87,246.0739,200.9935,164.3075,113.48,113.12,13834.8,1564992.576,4980.528
06/01/2022 06:00,16.36,140.0826,164.8605,170.1293,149.2043,118.16,116.95,5603.304,655306.4028,6779.99784
06/01/2022 07:00,15.85,127.4369,156.6216,159.1018,137.3162,109.19,107.94,5097.476,550221.5594,6371.845
06/01/2022 08:00,13.1,71.9004,89.7028,105.8292,105.2933,111.59,111.27,2876.016,320014.3003,920.32512
06/01/2022 09:00,10.79,40.1608,55.5145,73.8274,78.7965,124.69,124.59,1606.432,200145.3629,160.6432
06/01/2022 10:00,15.43,117.5715,72.0208,93.6695,123.9317,144.49,143.8,4702.86,676271.268,3244.9734
